Ticker,description
ROG,"Rogers Corporation designs, develops, manufactures, and sells engineered materials and components worldwide. It operates in Advanced Connectivity Solutions (ACS), Elastomeric Material Solutions (EMS), Power Electronics Solutions (PES), and Other segments. The ACS segment offers circuit materials and solutions for connectivity applications in wireless infrastructure, automotive, aerospace and defense, connected devices, and wired infrastructure under the RO4000, RO3000, RT/duroid, TMM, AD Series, CuClad, Kappa, DiClad, IsoClad, COOLSPAN, MAGTREX, TC Series, IM Series, 92ML, and CLTE Series names. The EMS segment provides engineered material solutions, including polyurethane and silicone materials used in cushioning, gasketing, sealing, and vibration management applications for general industrial, portable electronics, automotive, mass transit, aerospace and defense, footwear and impact mitigation, and printing markets; customized silicones used in flex heater and semiconductor thermal applications; and polytetrafluoroethylene and ultra-high molecular weight polyethylene materials used in wire and cable, electrical insulation, and automotive applications under the PORON, BISCO, DeWAL, ARLON, Griswold, eSORBA, XRD, HeatSORB, and R/bak names. The PES segment offers ceramic substrate materials, busbars, and cooling solutions under the curamik and ROLINX names. The Other segment provides elastomer components; and elastomer floats for level sensing in fuel tanks, motors, and storage tanks for applications in the general industrial and automotive markets under the ENDUR and NITROPHYL names. Rogers Corporation was founded in 1832 and is headquartered in Chandler, Arizona."
NOVN,"Novan, Inc., a clinical development-stage biotechnology company, provides nitric oxide-based therapies to treat dermatological and oncovirus-mediated diseases. Its clinical stage dermatology drug candidates include SB204, a topical monotherapy for the treatment of acne vulgaris; SB206, a topical anti-viral gel for the treatment of viral skin infections; SB208, a topical broad-spectrum anti-fungal gel for the treatment of fungal infections of the skin and nails, including athlete's foot and fungal nail infections; and SB414, a topical cream-based gel product candidate for the treatment of inflammatory skin diseases. The company also develops SB207, an anti-viral product candidate for the treatment of external genital warts; WH602, a nitric oxide-containing intravaginal gel to treat high-risk human papilloma virus (HPV); WH504, a non-gel formulation product candidate to treat high-risk HPV; and SB019 for the treatment of SARS-CoV-2. Novan, Inc. has a license agreement with Sato Pharmaceutical Co., Ltd.; and a strategic alliance with Orion Corporation. The company was incorporated in 2006 and is headquartered in Morrisville, North Carolina."
AZN,"AstraZeneca PLC discovers, develops, manufactures, and commercializes prescription medicines in the areas of oncology, cardiovascular, renal and metabolism, respiratory, infection, neuroscience, and gastroenterology worldwide. The company's marketed products include Tagrisso, Lynparza, Imfinzi, Enhertu, Koselugo, Lumoxiti, Equidacent, Zoladex, Faslodex, Iressa, Arimidex, Casodex/Cosudex, and others for oncology diseases; Onglyza, Bydureon, Lokelma, Byetta, Qtern, Symlin, and others for cardiovascular, renal, and metabolism diseases; and Symbicort, Pulmicort, Fasenra, Daliresp/Daxas, Duaklir, Tudorza/Eklira, Bevespi, Breztri, Anifrolumab, and others for respiratory and immunology diseases. It also offers other medicines and COVID-19 products, including Synagis, Fluenz Tetra/FluMist Quadrivalent, Seroquel IR/Seroquel XR, Vimovo, Movantik/Moventig, Nexium, Losec/Prilosec, and COVID-19 Vaccine AstraZeneca. The company serves primary care and specialty care physicians through distributors and local representative offices. It has a collaboration agreement with Daiichi Sankyo to develop and commercialize DS-1062 for the treatment of trophoblast cell-surface antigen 2 (TROP2) tumor; AliveCor, Inc. to develop non-invasive potassium monitoring solutions; Massachusetts General Hospital to accelerate digital health solutions; Sanguina on smartphone application study for hemoglobin management in patients with anemia of chronic kidney disease; Alchemab to enhance prostate cancer research; and Proteros biostructures GmbH to discover and develop novel small molecules for the treatment of various types of cancer. The company was formerly known as Zeneca Group PLC and changed its name to AstraZeneca PLC in April 1999. AstraZeneca PLC was incorporated in 1992 and is headquartered in Cambridge, the United Kingdom."
SAN,"Banco Santander, S.A., together with its subsidiaries, provides various retail and commercial banking products and services to individuals, small and medium-sized enterprises, and large companies worldwide. It offers demand and time deposits, and current and savings accounts; mortgages, consumer finance, syndicated corporate loans, structured financing, cash management, export and agency finance, trade and working capital solutions, and corporate finance; and insurance products. The company also provides cash, asset, and wealth management; and private banking services. In addition, it is involved in the corporate banking; treasury, risk hedging, foreign trade, confirming, custody, and investment banking activities. The company operates through a network of 11,236 branches. The company was formerly known as Banco Santander Central Hispano S.A. and changed its name to Banco Santander, S.A. in June 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain."
TTE,"TotalEnergies SE operates as an integrated oil and gas company worldwide. The company operates through four segments: Exploration &amp; Production; Integrated Gas, Renewables &amp; Power; Refining &amp; Chemicals; and Marketing &amp; Services. The company's Exploration &amp; Production segment is involved in oil and natural gas exploration and production activities in approximately 50 countries. Its Integrated Gas, Renewables &amp; Power segment engages in the liquefied natural gas (LNG) production, shipping, trading, and regasification activities; trading of liquefied petroleum gas (LPG), petcoke and sulfur, natural gas, and electricity; transportation of natural gas; electricity production from natural gas, wind, solar, hydroelectric, and biogas sources; energy storage activities; and development and operation of biomethane production units, as well as provides energy efficiency services. The company's Refining &amp; Chemicals segment is involved in refining petrochemicals, including olefins and aromatics; and polymer derivatives, such as polyethylene, polypropylene, polystyrene, and hydrocarbon resins, as well as biomass conversion and elastomer processing. This segment also engages in trading and shipping crude oil and petroleum products. Its Marketing &amp; Services segment produces and sells lubricants; supplies and markets petroleum products, including bulk fuel, aviation and marine fuel, special fluids, compressed natural gas, LPG, and bitumen; and provides fuel payment solutions. It operates approximately 15,500 service stations. As of December 31, 2020, the company had 12,328 Mboe of combined proved reserves of oil and gas. It has a strategic partnership with PureCycle Technologies in the area of plastic recycling. The company was formerly known as TOTAL SE and changed its name to TotalEnergies SE in June 2021. TotalEnergies SE was incorporated in 1924 and is headquartered in Paris, France."
GSK,"GlaxoSmithKline plc, together with its subsidiaries, engages in the creation, discovery, development, manufacture, and marketing of pharmaceutical products, vaccines, over-the-counter medicines, and health-related consumer products in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&amp;D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as respiratory, HIV, immuno-inflammation, oncology, anti-viral, central nervous system, cardiovascular and urogenital, metabolic, anti-bacterial, and dermatology. It also provides consumer healthcare products in wellness, oral health, nutrition, and skin health categories. The company offers its consumer healthcare products in the form of nasal sprays, tablets, syrups, lozenges, gum and trans-dermal patches, caplets, infant syrup drops, liquid filled suspension, wipes, gels, effervescents, toothpastes, toothbrushes, mouthwashes, denture adhesives and cleansers, topical creams and non-medicated patches, lip balm, gummies, and soft chews. It has collaboration agreements with 23andMe; Lyell Immunopharma, Inc.; Novartis; Sanofi SA; Surface Oncology; Progentec Diagnostics, Inc., and CureVac AG., as well as strategic partnership with IDEAYA Biosciences, Inc. and Vir Biotechnology, Inc. GlaxoSmithKline plc was founded in 1715 and is headquartered in Brentford, the United Kingdom."
RIO,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company offers aluminum, copper, diamonds, gold, borates, titanium dioxide, salt, iron ore, and uranium. It also owns and operates open pit and underground mines, mills, refineries, smelters, power stations, and research and service facilities. The company was founded in 1873 and is headquartered in London, the United Kingdom."
AI,"C3.ai, Inc. operates as an enterprise artificial intelligence (AI) software company. The company provides software-as-a-service applications for enterprises. Its software solutions include C3 AI Suite, a platform-as-a-service application development and runtime environment that enables customers to design, develop, and deploy enterprise AI applications; and C3 AI Applications, which include industry-specific and application-specific turnkey AI solutions. Its C3 AI applications include C3 AI Inventory Optimization, a solution to optimize raw material, in-process, and finished goods inventory levels; C3 AI Supply Network Risk, which provides visibility into risks of disruption throughout the supply chain operations for enterprise supply chain managers; C3 AI Customer Churn Management, which enables account executives and relationship managers to monitor customer satisfaction using transactional, behavioral, and contextual information, as well as to take action to prevent customer churn with AI-based and human-interpretable predictions and warning; C3 AI Production Schedule Optimization, a solution for scheduling production; C3 AI Predictive Maintenance, which provides insight into asset risk to maintenance planners and equipment operators; C3 AI Fraud Detection solution; and C3 AI Energy Management solution. The company also offers integrated turnkey enterprise AI applications for various market segments, including oil and gas, chemicals, utilities, manufacturing, retail, banking, financial services, intelligence, aerospace and defense, healthcare, telecommunications, pharmaceuticals, smart cities, transportation, and others. C3.ai, Inc. serves customers primarily in Europe, Asia, and the United States. It has strategic partnerships with Baker Hughes in the areas of oil and gas market; FIS in the areas of financial services market; Raytheon in the areas of the U.S. defense and intelligence communities; and Microsoft and Adobe in the areas of customer relationship management. The company was formerly known as C3 IoT, Inc. and changed its name to C3.ai, Inc. in June 2019. C3.ai, Inc. was founded in 2009 and is headquartered in Redwood City, California."
SAN,"Banco Santander, S.A., together with its subsidiaries, provides various retail and commercial banking products and services to individuals, small and medium-sized enterprises, and large companies worldwide. It offers demand and time deposits, and current and savings accounts; mortgages, consumer finance, syndicated corporate loans, structured financing, cash management, export and agency finance, trade and working capital solutions, and corporate finance; and insurance products. The company also provides cash, asset, and wealth management; and private banking services. In addition, it is involved in the corporate banking; treasury, risk hedging, foreign trade, confirming, custody, and investment banking activities. The company operates through a network of 11,236 branches. The company was formerly known as Banco Santander Central Hispano S.A. and changed its name to Banco Santander, S.A. in June 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain."
DTE,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.2 million residential, commercial, and industrial customers in southeastern Michigan. It generates electricity through fossil-fuel, hydroelectric pumped storage, and nuclear plants, as well as wind and other renewable assets. This segment owns and operates approximately 698 distribution substations and 445,800 line transformers. The company's Gas segment purchases, stores, transports, distributes, and sells natural gas to approximately 1.3 million residential, commercial, and industrial customers throughout Michigan; and sells storage and transportation capacity. This segment has approximately 20,000 miles of distribution mains; 1,308,000 service pipelines; and 1,305,000 active meters, as well as owns approximately 2,000 miles of transmission pipelines. Its Gas Storage and Pipelines segment owns natural gas storage fields, lateral and gathering pipeline systems, and compression and surface facilities, as well as has ownership interests in interstate pipelines serving the Gulf Coast, Midwest, Ontario, and northeast markets. The company's Power and Industrial Projects segment offers metallurgical coke; pulverized coal and petroleum coke to the steel, pulp and paper, and other industries; and power, steam and chilled water production, and wastewater treatment services, as well as supplies compressed air to industrial customers. It also owns and operates 5 renewable generating plants with a capacity of 139 MWs; 22 gas recovery sites; and 10 reduced emissions fuel facilities. Its Energy Trading segment engages in power, natural gas, and environmental marketing and trading; structured transactions; and the optimization of contracted natural gas pipeline transportation and storage positions. The company was founded in 1903 and is headquartered in Detroit, Michigan."
